from_address,to_address,distance_km,weight_kg,height_cm,width_cm,length_cm,delivery_option,transport_mode,cost,estimated_time_hours
Hyderabad,Kolkata,989,19.63,11.6,67.8,78.4,Economy,Road,833.48,49.3
Hyderabad,Mumbai,618,37.33,24.9,30.4,94.0,Express,Road,1768.01,28.7
Delhi,Bangalore,747,38.26,99.0,65.8,57.9,Express,Rail,2709.6,17.8
Chennai,Pune,757,31.89,30.4,25.0,94.6,Express,Rail,1023.9,30.5
Ahmedabad,Mumbai,1398,26.86,28.4,58.3,30.0,Express,Rail,1824.21,24.4
Delhi,Kolkata,776,49.6,76.8,86.8,19.5,Economy,Air,7578.08,13.8
Ahmedabad,Kolkata,461,25.52,57.6,94.5,69.6,Economy,Air,7523.55,20.8
Hyderabad,Chennai,869,29.7,20.0,5.3,73.6,Express,Rail,1271.03,24.8
Mumbai,Pune,1509,62.72,85.0,53.2,23.9,Normal,Road,4769.49,54.4
Chennai,Kolkata,863,32.75,6.9,93.3,88.5,Normal,Road,1288.22,46.1
Mumbai,Hyderabad,478,48.86,11.6,77.3,77.8,Economy,Air,4647.92,10.7
Pune,Mumbai,1035,92.93,76.8,70.5,72.7,Normal,Air,24766.42,16.4
Mumbai,Ahmedabad,1164,22.86,37.1,60.9,26.9,Economy,Road,973.04,53.4
Chennai,Pune,757,33.38,53.8,31.5,51.1,Express,Road,1979.81,29.8
Bangalore,Pune,1219,47.56,43.7,14.0,67.6,Normal,Rail,1708.35,26.9
Mumbai,Chennai,1808,40.56,37.2,86.9,28.6,Economy,Air,14515.76,14.9
Bangalore,Pune,1219,92.36,47.1,86.8,57.3,Economy,Air,24765.87,27.3
Bangalore,Mumbai,707,40.94,50.7,87.1,90.7,Economy,Rail,1223.9,39.8
Ahmedabad,Delhi,555,42.59,95.9,99.6,57.8,Express,Rail,2567.27,29.6
Chennai,Hyderabad,801,31.7,9.8,50.3,92.3,Express,Road,1735.6,35.1
Mumbai,Kolkata,1416,7.26,86.9,43.4,94.5,Express,Road,7689.48,28.1
Hyderabad,Delhi,740,20.82,73.0,27.7,42.6,Express,Air,5546.44,20.0
Mumbai,Chennai,1808,46.1,99.9,99.6,12.0,Economy,Air,15886.95,27.5
Bangalore,Delhi,1766,28.86,46.6,56.6,33.7,Express,Air,17231.19,12.6
Mumbai,Ahmedabad,1164,26.81,89.5,75.5,19.8,Normal,Air,7350.19,20.0
Kolkata,Ahmedabad,996,49.11,91.0,85.4,13.8,Normal,Rail,1333.6,22.7
Kolkata,Mumbai,1957,74.25,57.4,45.6,5.9,Economy,Air,31409.2,26.6
Delhi,Bangalore,747,13.18,34.3,90.4,80.6,Economy,Rail,844.15,23.8
Pune,Kolkata,841,75.07,92.9,27.5,20.4,Economy,Rail,1371.2,32.7
Pune,Ahmedabad,1794,67.16,74.8,28.6,20.1,Express,Road,8824.1,41.9
Bangalore,Pune,1219,91.89,38.2,83.0,87.8,Economy,Road,4623.96,54.4
Mumbai,Pune,1509,28.27,65.9,43.0,98.2,Express,Rail,4111.17,39.7
Delhi,Kolkata,776,96.27,30.2,15.3,46.3,Express,Rail,3318.98,16.2
Bangalore,Delhi,1766,4.92,46.4,54.4,81.6,Express,Air,29683.08,10.5
Pune,Chennai,498,94.91,92.5,64.2,68.0,Economy,Air,10209.37,18.8
Hyderabad,Bangalore,1863,69.87,57.7,23.2,68.2,Normal,Air,34156.91,18.9
Pune,Kolkata,841,83.46,33.9,25.0,79.6,Express,Air,25385.47,18.7
Ahmedabad,Pune,900,90.17,80.6,21.1,13.1,Express,Air,31241.52,21.6
Bangalore,Hyderabad,751,31.39,81.6,19.0,9.4,Normal,Air,6305.71,13.7
Bangalore,Hyderabad,751,69.79,52.0,28.2,67.3,Economy,Road,2213.23,46.7
Ahmedabad,Chennai,1240,55.96,92.2,16.5,17.7,Normal,Air,17455.61,12.9
Ahmedabad,Kolkata,461,81.59,89.7,45.5,91.2,Normal,Road,1972.3,20.7
Bangalore,Pune,1219,63.95,77.8,54.5,64.5,Normal,Rail,2141.03,28.9
Hyderabad,Kolkata,989,8.52,19.3,41.4,19.5,Economy,Road,331.31,49.2
Chennai,Mumbai,528,83.37,42.0,78.1,94.9,Economy,Air,8593.25,12.5
Pune,Ahmedabad,1794,89.22,84.4,56.1,74.8,Express,Road,11976.29,43.7
Pune,Delhi,1004,67.05,80.8,73.8,84.8,Economy,Air,20446.13,19.1
Chennai,Ahmedabad,585,64.45,17.9,48.9,9.8,Normal,Rail,1065.87,28.6
Pune,Delhi,1004,75.32,84.0,29.0,12.8,Economy,Air,15243.49,14.3
Mumbai,Pune,1509,95.75,8.8,7.9,28.5,Economy,Air,26888.3,21.6
Bangalore,Ahmedabad,1506,70.1,77.9,20.9,62.7,Express,Air,36536.93,25.5
Mumbai,Kolkata,1416,3.06,34.6,69.3,96.0,Normal,Air,15313.95,23.5
Bangalore,Chennai,1449,69.87,33.7,70.0,81.5,Express,Road,7361.08,36.4
Hyderabad,Chennai,869,85.03,83.1,15.0,96.3,Express,Rail,3462.96,28.7
Kolkata,Ahmedabad,996,80.92,56.1,50.9,46.4,Express,Air,28823.63,22.1
Mumbai,Delhi,1685,88.22,28.2,49.1,63.0,Normal,Rail,4039.17,37.7
Bangalore,Delhi,1766,79.88,37.3,88.6,71.6,Normal,Air,31811.92,9.6
Pune,Bangalore,1536,55.74,27.8,50.2,72.6,Normal,Road,3932.42,54.1
Kolkata,Hyderabad,1729,58.36,50.0,55.4,45.4,Express,Air,36558.62,11.9
Kolkata,Mumbai,1957,12.51,23.3,16.4,55.9,Express,Road,1722.88,45.4
Kolkata,Chennai,869,83.35,33.1,39.3,33.7,Express,Air,25133.15,6.2
Kolkata,Hyderabad,1729,94.44,65.6,76.5,14.7,Economy,Air,31248.77,16.0
Chennai,Delhi,351,94.14,50.4,83.1,43.1,Economy,Air,6779.72,7.9
Kolkata,Chennai,869,99.39,16.3,77.6,62.6,Express,Road,6834.92,37.0
Kolkata,Pune,1165,59.06,45.7,59.0,10.7,Express,Road,5622.31,27.4
Mumbai,Ahmedabad,1164,24.37,57.4,19.9,43.8,Express,Air,10573.49,11.2
Kolkata,Hyderabad,1729,86.03,11.8,27.2,30.1,Express,Air,57577.85,15.1
Bangalore,Hyderabad,751,15.32,30.2,18.5,10.7,Normal,Air,3019.55,11.3
Mumbai,Bangalore,1816,69.02,71.5,94.6,52.5,Normal,Rail,3544.55,40.1
Hyderabad,Kolkata,989,25.41,13.7,96.4,84.4,Express,Air,10273.57,19.0
